Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
395.25,372.45,NA,411.44,421.58,385.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.02,386.68,310.48,NA,NA,NA
379.5,393.93,,344.69,420.28,390.31,,,,,,,,,,,,,359.68,347.12,,,,
396.1,320,,373.91,362.41,347.99,,,,,,,,,,,,,370.8,357.89,,,,
368.69,367.62,,382.43,382.31,394.34,,,,,,,,,,,,,379.25,368.32,,,,
,375.58,,423.18,382,416.42,,,,,,,,,,,,,377.82,363.69,,,,
,367.78,,432.16,313.8,380.02,,,,,,,,,,,,,351.13,313.84,,,,
,359.58,,412.98,412.37,368.51,,,,,,,,,,,,,338.58,338.52,,,,
,403.33,,425.96,356.59,356.38,,,,,,,,,,,,,325.62,370.32,,,,
,319.81,,400.85,390.06,392.46,,,,,,,,,,,,,407.15,369.73,,,,
,325.78,,325.09,347.99,341.26,,,,,,,,,,,,,288.03,,,,,
,308.57,,404.04,372.75,372.06,,,,,,,,,,,,,286.96,,,,,
,388.69,,404.62,320.45,392.91,,,,,,,,,,,,,364.24,,,,,
,372.36,,416.28,289.17,391.71,,,,,,,,,,,,,338.09,,,,,
,329.29,,357.17,358.94,360.15,,,,,,,,,,,,,377.66,,,,,
,401.22,,407.74,353.9,350.51,,,,,,,,,,,,,,,,,,
,360.21,,374.27,279.01,402.44,,,,,,,,,,,,,,,,,,
,366.6,,410.22,347.59,376.65,,,,,,,,,,,,,,,,,,
,366.58,,346.77,359.06,278.84,,,,,,,,,,,,,,,,,,
,,,300.9,382.57,385.38,,,,,,,,,,,,,,,,,,
,,,349.6,406.91,359.39,,,,,,,,,,,,,,,,,,
,,,330.1,371.37,402.02,,,,,,,,,,,,,,,,,,
,,,417.26,338.28,381.55,,,,,,,,,,,,,,,,,,
,,,294.11,343.64,347.38,,,,,,,,,,,,,,,,,,
,,,,,362.99,,,,,,,,,,,,,,,,,,
,,,,,412.84,,,,,,,,,,,,,,,,,,
,,,,,362.16,,,,,,,,,,,,,,,,,,
,,,,,359.69,,,,,,,,,,,,,,,,,,
,,,,,381.95,,,,,,,,,,,,,,,,,,
,,,,,356,,,,,,,,,,,,,,,,,,
,,,,,387.43,,,,,,,,,,,,,,,,,,
,,,,,378.22,,,,,,,,,,,,,,,,,,
,,,,,370.8,,,,,,,,,,,,,,,,,,
,,,,,381.36,,,,,,,,,,,,,,,,,,
,,,,,307.64,,,,,,,,,,,,,,,,,,
,,,,,387.6,,,,,,,,,,,,,,,,,,
,,,,,428.41,,,,,,,,,,,,,,,,,,
,,,,,358.64,,,,,,,,,,,,,,,,,,
,,,,,389.11,,,,,,,,,,,,,,,,,,
,,,,,393.14,,,,,,,,,,,,,,,,,,
,,,,,397.5,,,,,,,,,,,,,,,,,,
,,,,,381.27,,,,,,,,,,,,,,,,,,
,,,,,354.5,,,,,,,,,,,,,,,,,,
,,,,,366.88,,,,,,,,,,,,,,,,,,
,,,,,379.8,,,,,,,,,,,,,,,,,,
,,,,,384.8,,,,,,,,,,,,,,,,,,
,,,,,350.68,,,,,,,,,,,,,,,,,,
,,,,,383.52,,,,,,,,,,,,,,,,,,
,,,,,411.78,,,,,,,,,,,,,,,,,,
,,,,,381.35,,,,,,,,,,,,,,,,,,
