Date & time of file creation	4/30/2021 4:05 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\16_17 22_24 low temp low salinity_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\16_17 22_24 low temp low salinity.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	60.8800	26.9400	0.00	100.00	20.00	22.97																																							
Chamber 2	1	60.8800	26.3687	0.00	100.00	20.00	22.97																																							
Chamber 3	1	60.8800	25.5400	0.00	100.00	20.00	22.96																																							
Chamber 4	1	60.8800	25.9925	0.00	100.00	20.00	22.96																																							
Chamber 5	1	60.8800	26.6500	0.00	100.00	20.00	23.05																																							
Chamber 6	1	60.8800	23.5475	0.00	100.00	20.00	23.06																																							
Chamber 7	1	60.8800	23.8463	0.00	100.00	20.00	23.06																																							
Chamber 8	1	60.8800	26.6663	0.00	100.00	20.00	23.06																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 2	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 3	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 4	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 5	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 6	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 7	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 8	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
