Date & time of file creation	5/7/2021 9:56 AM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\May 7_2021 16-17 andd 22-23 low temp low salinity_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\May 7_2021 16-17 andd 22-23 low temp low salinity.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	60.8800	26.4275	0.00	100.00	20.00	23.31																																							
Chamber 2	1	60.8800	26.6275	0.00	100.00	20.00	23.31																																							
Chamber 3	1	60.8800	26.4675	0.00	100.00	20.00	23.30																																							
Chamber 4	1	60.8800	25.9325	0.00	100.00	20.00	23.30																																							
Chamber 5	1	60.8800	26.3325	0.00	100.00	20.00	23.36																																							
Chamber 6	1	60.8800	26.6800	0.00	100.00	20.00	23.36																																							
Chamber 7	1	60.8800	26.3800	0.00	100.00	20.00	23.36																																							
Chamber 8	1	60.8800	26.1475	0.00	100.00	20.00	23.36																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 2	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 3	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 4	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 5	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 6	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 7	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 8	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
5/7/2021/9:56:42 AM	Flush	1014.0	17.1	26.4450	23.29	99.86	26.6275	23.29	100.02	26.4725	23.29	99.96	25.9375	23.29	99.96	26.3150	23.36	100.17	26.6775	23.36	100.02	26.3875	23.36	99.93	26.1425	23.36	100.05	NaN	NaN	NaN	NaN	23.2925	23.29	OFF	23.3600	23.36	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/9:56:43 AM	Flush	1014.0	17.1	26.4550	23.30	99.76	26.6225	23.30	100.06	26.4725	23.30	99.96	25.9475	23.30	99.86	26.3175	23.36	100.14	26.6950	23.36	99.86	26.3975	23.36	99.83	26.1475	23.36	100.00	NaN	NaN	NaN	NaN	23.2975	23.30	OFF	23.3600	23.36	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
