Date & time of file creation	5/7/2021 2:51 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	60.8800	23.0875	0.00	100.00	20.00	27.84																																							
Chamber 2	1	60.8800	25.7275	0.00	100.00	20.00	27.86																																							
																																														
Chamber 4	1	60.8800	25.2325	0.00	100.00	20.00	27.86																																							
Chamber 5	1	60.8800	25.1025	0.00	100.00	20.00	27.93																																							
Chamber 6	1	60.8800	25.7387	0.00	100.00	20.00	27.93																																							
Chamber 7	1	60.8800	25.1100	0.00	100.00	20.00	27.92																																							
Chamber 8	1	60.8800	25.2263	0.00	100.00	20.00	27.92																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 2	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 4	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 5	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 6	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 7	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 8	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [V]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
5/7/2021/2:51:41 PM	Flush	1014.0	17.1	23.0975	27.83	99.91	25.7875	27.83	99.46	NaN	27.83	NaN	25.2125	27.83	100.24	24.9425	27.94	101.59	25.5550	27.94	101.80	24.9825	27.94	101.24	25.1175	27.94	101.05	NaN	NaN	NaN	NaN	27.8325	27.83	OFF	27.9425	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:42 PM	Flush	1014.0	17.1	23.0925	27.84	99.95	25.7825	27.84	99.49	NaN	27.84	NaN	25.1900	27.84	100.45	24.9550	27.95	101.45	25.5375	27.95	101.96	25.0050	27.95	101.01	25.1400	27.95	100.82	NaN	NaN	NaN	NaN	27.8400	27.84	OFF	27.9475	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:43 PM	Flush	1014.0	17.1	23.0975	27.84	99.89	25.7925	27.84	99.39	NaN	27.84	NaN	25.1925	27.84	100.42	24.9625	27.94	101.39	25.5300	27.94	102.05	24.9500	27.94	101.57	25.1350	27.94	100.88	NaN	NaN	NaN	NaN	27.8425	27.84	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:44 PM	Flush	1014.0	17.1	23.0950	27.85	99.91	25.7950	27.85	99.36	NaN	27.85	NaN	25.2050	27.85	100.29	24.9400	27.94	101.61	25.5325	27.94	102.03	24.9525	27.94	101.55	25.1275	27.94	100.95	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:45 PM	Flush	1014.0	17.1	23.1025	27.85	99.83	25.7825	27.85	99.48	NaN	27.85	NaN	25.2225	27.85	100.11	24.9500	27.94	101.51	25.5375	27.94	101.98	25.0375	27.94	100.69	25.1400	27.94	100.83	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:46 PM	M1   	1014.0	17.1	23.0850	27.85	100.01	25.7875	27.85	99.43	NaN	27.85	NaN	25.2125	27.85	100.21	24.9775	27.94	101.24	25.5288	27.94	102.06	25.0100	27.94	100.97	25.1125	27.94	101.10	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:47 PM	M1   	1014.0	17.1	23.1000	27.85	99.86	25.7800	27.85	99.51	NaN	27.85	NaN	25.1700	27.85	100.64	24.9600	27.94	101.41	25.5275	27.94	102.08	25.0550	27.94	100.52	25.1275	27.94	100.95	NaN	NaN	NaN	NaN	27.8475	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:48 PM	M1   	1014.0	17.1	23.0925	27.84	99.94	25.7800	27.84	99.52	NaN	27.84	NaN	25.1975	27.84	100.37	24.9575	27.94	101.44	25.5500	27.94	101.85	24.9850	27.94	101.22	25.1200	27.94	101.03	NaN	NaN	NaN	NaN	27.8425	27.84	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:49 PM	M1   	1014.0	17.1	23.0700	27.85	100.17	25.7800	27.85	99.50	NaN	27.85	NaN	25.1950	27.85	100.39	24.9475	27.94	101.54	25.5450	27.94	101.90	24.9925	27.94	101.14	25.1250	27.94	100.98	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:50 PM	M1   	1014.0	17.1	23.0775	27.85	100.09	25.7750	27.85	99.55	NaN	27.85	NaN	25.2075	27.85	100.26	24.9425	27.94	101.59	25.5275	27.94	102.08	24.9850	27.94	101.22	25.1375	27.94	100.85	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:51 PM	M1   	1014.0	17.1	23.1050	27.85	99.80	25.7650	27.85	99.65	NaN	27.85	NaN	25.2025	27.85	100.31	24.9550	27.94	101.46	25.5300	27.94	102.05	25.0075	27.94	100.99	25.1275	27.94	100.95	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9400	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:52 PM	M1   	1014.0	17.1	23.1075	27.85	99.78	25.7775	27.85	99.53	NaN	27.85	NaN	25.2075	27.85	100.26	24.9600	27.94	101.41	25.5575	27.94	101.77	24.9325	27.94	101.75	25.1225	27.94	101.00	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9425	27.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:53 PM	M1   	1014.0	17.1	23.0675	27.85	100.20	25.7750	27.85	99.55	NaN	27.85	NaN	25.2000	27.85	100.34	24.9325	27.95	101.68	25.5450	27.95	101.88	24.8850	27.95	102.22	25.1225	27.95	100.99	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9500	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:51:54 PM	M1   	1014.0	17.1	23.0750	27.85	100.12	25.7950	27.85	99.36	NaN	27.85	NaN	25.1975	27.85	100.36	24.9425	27.95	101.57	25.5275	27.95	102.06	24.8475	27.95	102.60	25.1075	27.95	101.14	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9500	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
