"","SapleName_readmatrix","Temperature","OA","Salinity","Replicate","Age.days"
"1","A1.spat","High","Low","High","A",18
"2","A2.spat","High","Low","High","B",18
"3","A3.spat","High","Low","High","C",18
"4","A4.spat","High","High","High","A",18
"5","A5.spat","High","High","High","B",18
"6","A6.spat","High","High","High","C",18
"7","A7.spat","High","High","Low","A",18
"8","A8.spat","High","High","Low","B",18
"9","A9.spat","High","Low","Low","A",18
"10","A10.spat","High","Low","Low","B",18
"11","A11.spat","High","Low","Low","C",18
