"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022441849.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111106955"," mitochondrial inner membrane protease subunit 2-like"
"2","XM_022444348.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111108450"," small nuclear ribonucleoprotein F"
"3","XM_022444348.1","protein-containing complex assembly",0.00965077287587329,"GO:0022618","ribonucleoprotein complex assembly","BP","turquoise","LOC111108450"," small nuclear ribonucleoprotein F"
"4","XM_022453244.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111114773"," signal recognition particle 19 kDa protein-like"
"5","XM_022458053.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111118539"," splicing factor U2AF 50 kDa subunit-like"
"6","XM_022458349.1","protein-containing complex assembly",0.00965077287587329,"GO:0022618","ribonucleoprotein complex assembly","BP","turquoise","LOC111118739"," mRNA turnover protein 4 homolog"
"7","XM_022460779.1","protein-containing complex assembly",0.00965077287587329,"GO:0022618","ribonucleoprotein complex assembly","BP","turquoise","LOC111120101"," putative RNA-binding protein Luc7-like 1"
"8","XM_022460779.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111120101"," putative RNA-binding protein Luc7-like 1"
"9","XM_022462087.1","anatomical structure development",0.0225462623566021,"GO:0000902","cell morphogenesis","BP","turquoise","LOC111121005"," AP-1 complex-associated regulatory protein-like"
"10","XM_022463165.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111121745"," putative RNA-binding protein Luc7-like 1"
"11","XM_022463165.1","protein-containing complex assembly",0.00965077287587329,"GO:0022618","ribonucleoprotein complex assembly","BP","turquoise","LOC111121745"," putative RNA-binding protein Luc7-like 1"
"12","XM_022471185.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111126498"," zinc finger matrin-type protein 2-like"
"13","XM_022472141.1","anatomical structure development",0.0225462623566021,"GO:0000902","cell morphogenesis","BP","turquoise","LOC111127110"," probable syndecan"
"14","XM_022474603.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111128765"," signal recognition particle 9 kDa protein-like"
"15","XM_022475592.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111129301"," U1 small nuclear ribonucleoprotein 70 kDa-like"
"16","XM_022477781.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111130615"," signal recognition particle 14 kDa protein-like"
"17","XM_022481399.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111133226"," pre-mRNA-splicing factor SPF27-like"
"18","XM_022481809.1","mRNA metabolic process",0.00689221554462471,"GO:0006397","mRNA processing","BP","turquoise","LOC111133404"," RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like"
"19","XM_022487040.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111136292"," peroxisomal membrane protein PEX14-like"
"20","XM_022488825.1","intracellular protein transport",0.000501256806114019,"GO:0006605","protein targeting","BP","turquoise","LOC111137382"," mitochondrial import inner membrane translocase subunit Tim22-like"
"21","XM_022490402.1","protein-containing complex assembly",0.00965077287587329,"GO:0022618","ribonucleoprotein complex assembly","BP","turquoise","LOC111138435"," ribosome maturation protein SBDS-like"
