"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105321301","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105321301","inositol monophosphatase 1"
"2","crg:105322958","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105322958","U6 snRNA-associated Sm-like protein LSm6 isoform X1"
"3","crg:105325235","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105325235","zinc finger matrin-type protein 2"
"4","crg:105327851","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105327851","serine/arginine-rich splicing factor 1A"
"5","crg:105327997","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105327997","calmodulin-A"
"6","crg:105327998","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105327998","calmodulin-A"
"7","crg:105329775","crg03060","Protein export","105330866/105329775/105340191/105348945",4,"105329775","signal recognition particle receptor subunit beta"
"8","crg:105330866","crg03060","Protein export","105330866/105329775/105340191/105348945",4,"105330866","signal recognition particle 19 kDa protein"
"9","crg:105331507","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105331507","protein BUD31 homolog"
"10","crg:105335780","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105335780","splicing factor U2AF 50 kDa subunit"
"11","crg:105338360","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105338360","calmodulin"
"12","crg:105338369","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105338369","calmodulin-like"
"13","crg:105339081","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105339081","transformer-2 protein homolog alpha isoform X2"
"14","crg:105339773","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105339773","neo-calmodulin-like"
"15","crg:105340191","crg03060","Protein export","105330866/105329775/105340191/105348945",4,"105340191","signal peptidase complex subunit 1"
"16","crg:105342224","crg04070","Phosphatidylinositol signaling system","105339773/105327997/105338360/105342224/105327998/105338369/105321301",7,"105342224","caltractin"
"17","crg:105348755","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105348755","RNA-binding protein 8A"
"18","crg:105348805","crg03040","Spliceosome","105327851/105325235/105331507/105335780/105322958/105339081/105348755/105348805",8,"105348805","NHP2-like protein 1"
"19","crg:105348945","crg03060","Protein export","105330866/105329775/105340191/105348945",4,"105348945","mitochondrial inner membrane protease subunit 2"
