"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105318988","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111134659"," poly(U)-binding-splicing factor PUF60-like"
"2","crg:105319620","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111130068"," splicing factor 3B subunit 2-like"
"3","crg:105319620","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111130237"," splicing factor 3B subunit 2-like"
"4","crg:105322652","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111134531"," transcription elongation regulator 1-like"
"5","crg:105324894","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111138305"," pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like"
"6","crg:105326740","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111114893"," ATP-dependent RNA helicase DHX8-like"
"7","crg:105330153","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111124560"," THO complex subunit 2-like"
"8","crg:105333111","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111111998"," splicing factor 3B subunit 1-like"
"9","crg:105334527","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111103801"," cell division cycle 5-like protein"
"10","crg:105335725","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111125967"," pre-mRNA-splicing factor 38B-like"
"11","crg:105336187","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111115058"," probable ATP-dependent RNA helicase DDX23"
"12","crg:105340745","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111118086"," WW domain-binding protein 11-like"
"13","crg:105340745","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111120858"," WW domain-binding protein 11-like"
"14","crg:105345480","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111120054"," probable ATP-dependent RNA helicase DDX46"
"15","crg:105346945","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111112733"," heterogeneous nuclear ribonucleoprotein K-like"
"16","crg:105347056","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111121854"," pre-mRNA-splicing factor RBM22-like"
"17","crg:105347185","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111135640"," splicing factor 3A subunit 1-like"
"18","crg:105348084","Day 2 larvae","brown","crg03040",5.96,0.12,"Spliceosome","LOC111118013"," calcium homeostasis endoplasmic reticulum protein-like"
"19","crg:105321599","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111120563"," WD repeat-containing protein 63-like"
"20","crg:105324771","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111126828"," cytoplasmic dynein 1 intermediate chain 2-like"
"21","crg:105326705","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111119261"," actin, cytoplasmic-like"
"22","crg:105327708","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111119946"," WD repeat-containing protein 78-like"
"23","crg:105327708","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111120500"," WD repeat-containing protein 78-like"
"24","crg:105329829","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111127315"," kinesin-like protein KIF9"
"25","crg:105329829","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111122805"," kinesin-like protein KIF9"
"26","crg:105336357","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111112131"," kinesin-like protein KIF21A"
"27","crg:105337636","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111100288"," unconventional myosin-VI-like"
"28","crg:105337636","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111100344"," unconventional myosin-VI-like"
"29","crg:105338907","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111124621"," myosin heavy chain, striated muscle-like"
"30","crg:105344718","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111136524"," unconventional myosin-XVIIIa-like"
"31","crg:105344718","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111136109"," unconventional myosin-XVIIIa-like"
"32","crg:105347347","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111108504"," tubulin alpha-8 chain-like"
"33","crg:105347347","Day 2 larvae","brown","crg04814",4.23,0.095,"Motor proteins","LOC111108598"," tubulin alpha-8 chain-like"
"34","crg:105320326","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111120554"," glutathione peroxidase-like"
"35","crg:105330227","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111101916"," isocitrate dehydrogenase [NADP] cytoplasmic-like"
"36","crg:105330981","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111126505"," microsomal glutathione S-transferase 2-like"
"37","crg:105331625","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111110445"," glutathione S-transferase 1-like"
"38","crg:105343429","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111127513"," peroxiredoxin-6-like"
"39","crg:105345880","Day 2 larvae","blue","crg00480",3.37,0.09,"Glutathione metabolism","LOC111130436"," glutathione peroxidase 2-like"
"40","crg:105320698","Day 2 larvae","blue","crg04142",8.95,0.087,"Lysosome","LOC111125083"," ganglioside GM2 activator-like"
"41","crg:105321566","Day 2 larvae","blue","crg04142",8.95,0.087,"Lysosome","LOC111123623"," V-type proton ATPase 16 kDa proteolipid subunit-like"
"42","crg:105331028","Day 2 larvae","blue","crg04142",8.95,0.087,"Lysosome","LOC111137183"," AP-1 complex subunit beta-1-like"
