"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0042254",8.51926396119514e-61,1,64,252,"ribosome biogenesis","BP","green","Day18"
"2","GO:0006412",3.64394515300311e-58,1,61,276,"translation","BP","green","Day18"
"3","GO:0006397",2.45041453764975e-05,0.999996555296203,9,186,"mRNA processing","BP","green","Day18"
"4","GO:0034641",0.00332223579696731,0.998228045446463,31,2677,"cellular nitrogen compound metabolic process","BP","green","Day18"
"5","GO:0006091",0.006092389298912,0.998676477452707,6,216,"generation of precursor metabolites and energy","BP","green","Day18"
"6","GO:0006457",0.0464497675947474,0.991399906303742,3,80,"protein folding","BP","green","Day18"
"7","GO:0007034",0.0471833858760646,0.995071469680063,2,24,"vacuolar transport","BP","green","Day18"
"8","GO:0005840",1.45457935614903e-59,1,64,255,"ribosome","CC","green","Day18"
"9","GO:0032991",6.26561752682581e-06,0.999997264358241,44,3519,"protein-containing complex","CC","green","Day18"
"10","GO:0005622",0.000406457116582122,0.999855618439486,18,1052,"intracellular anatomical structure","CC","green","Day18"
"11","GO:0005737",0.0121731929378317,0.99554867400195,10,691,"cytoplasm","CC","green","Day18"
"12","GO:0005829",0.0497628670794888,0.994513316645226,2,40,"cytosol","CC","green","Day18"
"13","GO:0003735",7.26507972899984e-62,1,60,176,"structural constituent of ribosome","MF","green","Day18"
"14","GO:0003723",9.56949518101678e-08,0.999999983370908,17,550,"RNA binding","MF","green","Day18"
"15","GO:0008233",0.000274477047167021,0.999912457099826,16,1210,"peptidase activity","MF","green","Day18"
"16","GO:0019843",0.000274786838311253,0.999993498754631,3,10,"rRNA binding","MF","green","Day18"
"17","GO:0030234",0.00359406529608617,0.998695494258547,13,669,"enzyme regulator activity","MF","green","Day18"
"18","GO:0008135",0.00409326019906486,0.999512035029291,4,66,"translation factor activity, RNA binding","MF","green","Day18"
"19","GO:0051082",0.00764658179502225,0.999289915822887,3,53,"unfolded protein binding","MF","green","Day18"
"20","GO:0003700",0.0180455020425934,0.992991058425075,10,712,"DNA-binding transcription factor activity","MF","green","Day18"
"21","GO:0016491",0.0220182011847394,0.988797393629053,17,1338,"oxidoreductase activity","MF","green","Day18"
"22","GO:0005198",0.0231740363410898,0.996676646799408,3,179,"structural molecule activity","MF","green","Day18"
"23","GO:0003729",0.0322845127678603,0.997180802768208,2,42,"mRNA binding","MF","green","Day18"
"24","GO:0051186",0.0492059865860612,0.982977554042621,6,325,NA,NA,"green","Day18"
