"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0006457",9.70503293172941e-24,1,25,80,"protein folding","BP","turquoise","Day18"
"2","GO:0051276",3.11304065998388e-14,1,29,361,"chromosome organization","BP","turquoise","Day18"
"3","GO:0006397",9.03847062966567e-12,1,21,186,"mRNA processing","BP","turquoise","Day18"
"4","GO:0006091",4.66492699001809e-10,1,20,216,"generation of precursor metabolites and energy","BP","turquoise","Day18"
"5","GO:0042254",6.18520028641735e-08,0.999999985952286,23,252,"ribosome biogenesis","BP","turquoise","Day18"
"6","GO:0006412",7.79215688080315e-07,0.999999807149345,21,276,"translation","BP","turquoise","Day18"
"7","GO:0044281",5.4935410539798e-06,0.999997801784121,36,1051,"small molecule metabolic process","BP","turquoise","Day18"
"8","GO:0006605",6.11082348220152e-06,0.999999436146368,8,47,"protein targeting","BP","turquoise","Day18"
"9","GO:0065003",2.00134713033107e-05,0.999994691214502,17,332,"protein-containing complex assembly","BP","turquoise","Day18"
"10","GO:0009058",2.13581139226277e-05,0.999987942385655,78,3022,"biosynthetic process","BP","turquoise","Day18"
"11","GO:0034641",2.85078244159903e-05,0.999984306705916,69,2677,"cellular nitrogen compound metabolic process","BP","turquoise","Day18"
"12","GO:0022618",7.47831231493308e-05,0.999989771226792,8,75,"ribonucleoprotein complex assembly","BP","turquoise","Day18"
"13","GO:0009056",0.000153713487909164,0.999940071938106,24,739,"catabolic process","BP","turquoise","Day18"
"14","GO:0005975",0.000306888888983084,0.999886491538523,20,564,"carbohydrate metabolic process","BP","turquoise","Day18"
"15","GO:0140014",0.00318716202264542,0.99965184094834,4,43,"mitotic nuclear division","BP","turquoise","Day18"
"16","GO:0007009",0.00737349951540722,0.998678410783057,5,43,"plasma membrane organization","BP","turquoise","Day18"
"17","GO:0006399",0.00889651832281148,0.997354697473786,8,185,"tRNA metabolic process","BP","turquoise","Day18"
"18","GO:0006520",0.0118906182749083,0.993072679336291,30,1505,"cellular amino acid metabolic process","BP","turquoise","Day18"
"19","GO:0042592",0.0325809743022602,0.987703756494963,8,251,"homeostatic process","BP","turquoise","Day18"
"20","GO:0006913",0.04195740447804,0.992569700813395,3,62,"nucleocytoplasmic transport","BP","turquoise","Day18"
"21","GO:0006464",0.0421951037619834,0.969698527753655,51,3119,"cellular protein modification process","BP","turquoise","Day18"
"22","GO:0007010",0.0443804197831846,0.979159720515811,11,505,"cytoskeleton organization","BP","turquoise","Day18"
"23","GO:0032991",1.44170653089291e-32,1,150,3519,"protein-containing complex","CC","turquoise","Day18"
"24","GO:0005634",8.4715289452117e-17,1,66,1230,"nucleus","CC","turquoise","Day18"
"25","GO:0005737",7.08999710603864e-16,1,44,691,"cytoplasm","CC","turquoise","Day18"
"26","GO:0005694",1.86478151142324e-13,1,30,311,"chromosome","CC","turquoise","Day18"
"27","GO:0005840",8.59971611234229e-12,1,29,255,"ribosome","CC","turquoise","Day18"
"28","GO:0005783",3.58188644075217e-05,0.999992106379819,13,222,"endoplasmic reticulum","CC","turquoise","Day18"
"29","GO:0005739",8.24045273133594e-05,0.999973528639944,19,350,"mitochondrion","CC","turquoise","Day18"
"30","GO:0000228",0.00032616920904458,0.999935468980956,9,149,"nuclear chromosome","CC","turquoise","Day18"
"31","GO:0005856",0.000570333698827462,0.999760836364499,23,959,"cytoskeleton","CC","turquoise","Day18"
"32","GO:0005622",0.00112184557667122,0.999446758142851,30,1052,"intracellular anatomical structure","CC","turquoise","Day18"
"33","GO:0005654",0.00116954550681424,0.999648839775426,12,247,"nucleoplasm","CC","turquoise","Day18"
"34","GO:0005730",0.0049007825405468,0.999184425220007,5,66,"nucleolus","CC","turquoise","Day18"
"35","GO:0051082",1.75305899470118e-16,1,16,53,"unfolded protein binding","MF","turquoise","Day18"
"36","GO:0003723",1.39152542475971e-11,1,33,550,"RNA binding","MF","turquoise","Day18"
"37","GO:0008135",1.93476461146594e-11,1,14,66,"translation factor activity, RNA binding","MF","turquoise","Day18"
"38","GO:0016887",3.28813876807595e-07,0.99999992894389,19,437,"ATPase activity","MF","turquoise","Day18"
"39","GO:0003677",4.00019570553327e-07,0.999999875340112,55,1680,"DNA binding","MF","turquoise","Day18"
"40","GO:0016853",7.82358702100811e-06,0.999998785734341,11,121,"isomerase activity","MF","turquoise","Day18"
"41","GO:0016491",3.90403931954238e-05,0.999981636918734,42,1338,"oxidoreductase activity","MF","turquoise","Day18"
"42","GO:0003735",8.76760900710618e-05,0.999976480011309,15,176,"structural constituent of ribosome","MF","turquoise","Day18"
"43","GO:0008092",0.00104377076415568,0.999596022727001,18,685,"cytoskeletal protein binding","MF","turquoise","Day18"
"44","GO:0016874",0.00143499812364322,0.999647497058827,9,210,"ligase activity","MF","turquoise","Day18"
"45","GO:0043167",0.00201799540403697,0.998481496383566,165,9871,"ion binding","MF","turquoise","Day18"
"46","GO:0030234",0.00259767622486401,0.998803444031856,22,669,"enzyme regulator activity","MF","turquoise","Day18"
"47","GO:0005198",0.015724502611954,0.995820240931999,6,179,"structural molecule activity","MF","turquoise","Day18"
"48","GO:0003924",0.0168067834227918,0.991914652525626,16,437,"GTPase activity","MF","turquoise","Day18"
"49","GO:0003729",0.0262211366407101,0.996182942428951,3,42,"mRNA binding","MF","turquoise","Day18"
"50","GO:0008168",0.029340646888104,0.989169620747182,8,210,"methyltransferase activity","MF","turquoise","Day18"
