"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022430907.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111099585"," lys-63-specific deubiquitinase BRCC36-like"
"2","XM_022430907.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111099585"," lys-63-specific deubiquitinase BRCC36-like"
"3","XM_022432795.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111100708"," 40S ribosomal protein S13-like"
"4","XM_022434060.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111101507"," 60S ribosomal protein L32-like"
"5","XM_022434493.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111101860"," 60S ribosomal protein L35a-like"
"6","XM_022437244.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111103780"," ubiquitin carboxyl-terminal hydrolase 47-like"
"7","XM_022437244.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111103780"," ubiquitin carboxyl-terminal hydrolase 47-like"
"8","XM_022438304.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111104388"," 40S ribosomal protein S4-like"
"9","XM_022439392.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111105223"," uncharacterized"
"10","XM_022439392.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111105223"," uncharacterized"
"11","XM_022439392.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111105223"," uncharacterized"
"12","XM_022439392.1","translation regulator activity",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111105223"," uncharacterized"
"13","XM_022439719.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111105429"," eukaryotic translation initiation factor 1A-like"
"14","XM_022439719.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111105429"," eukaryotic translation initiation factor 1A-like"
"15","XM_022439719.1","translation regulator activity",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111105429"," eukaryotic translation initiation factor 1A-like"
"16","XM_022439719.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111105429"," eukaryotic translation initiation factor 1A-like"
"17","XM_022439790.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111105476"," metalloproteinase inhibitor 3-like"
"18","XM_022439982.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111105616"," 60S ribosomal protein L44-like"
"19","XM_022440951.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111106322"," 60S ribosomal protein L18a-like"
"20","XM_022441013.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111106358"," mitochondrial-processing peptidase subunit beta-like"
"21","XM_022441013.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111106358"," mitochondrial-processing peptidase subunit beta-like"
"22","XM_022441035.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111106383"," 60S ribosomal protein L18a-like"
"23","XM_022441163.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111106468"," 40S ribosomal protein S23"
"24","XM_022448430.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111111438"," 60S ribosomal protein L27"
"25","XM_022448463.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111111467"," uncharacterized"
"26","XM_022448720.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111111632"," kunitz-type serine protease inhibitor A-like"
"27","XM_022449232.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111111998"," splicing factor 3B subunit 1-like"
"28","XM_022449232.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111111998"," splicing factor 3B subunit 1-like"
"29","XM_022449232.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111111998"," splicing factor 3B subunit 1-like"
"30","XM_022449348.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111112048"," elongation factor 1-beta-like"
"31","XM_022449348.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111112048"," elongation factor 1-beta-like"
"32","XM_022449348.1","translation regulator activity",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111112048"," elongation factor 1-beta-like"
"33","XM_022449348.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111112048"," elongation factor 1-beta-like"
"34","XM_022450954.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113025"," cathepsin L1-like"
"35","XM_022450954.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113025"," cathepsin L1-like"
"36","XM_022450958.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113028"," cathepsin L1-like"
"37","XM_022450958.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113028"," cathepsin L1-like"
"38","XM_022451881.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113586"," carboxypeptidase A1-like"
"39","XM_022451881.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111113586"," carboxypeptidase A1-like"
"40","XM_022452387.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111114067"," 40S ribosomal protein S11-like"
"41","XM_022452991.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111114610"," 60S ribosomal protein L37a"
"42","XM_022453757.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111115132"," 60S ribosomal protein L37a"
"43","XM_022454300.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111115533"," BPTI/Kunitz domain-containing protein 4-like"
"44","XM_022454301.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111115533"," BPTI/Kunitz domain-containing protein 4-like"
"45","XM_022455250.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111116264"," ornithine decarboxylase antizyme 3-like"
"46","XM_022455676.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111116683"," probable serine carboxypeptidase CPVL"
"47","XM_022455676.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111116683"," probable serine carboxypeptidase CPVL"
"48","XM_022456231.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111117151"," ralA-binding protein 1-like"
"49","XM_022457419.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111118104"," 60S ribosomal protein L23"
"50","XM_022457754.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111118348"," 40S ribosomal protein S15Aa"
"51","XM_022458026.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111118510"," 40S ribosomal protein S20"
"52","XM_022458482.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111118834"," ubiquitin carboxyl-terminal hydrolase 7-like"
"53","XM_022458482.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111118834"," ubiquitin carboxyl-terminal hydrolase 7-like"
"54","XM_022458716.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111118983"," 40S ribosomal protein S7-like"
"55","XM_022458848.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111119040"," 40S ribosomal protein S2"
"56","XM_022458870.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111119059"," 60S ribosomal protein L34-like"
"57","XM_022458920.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111119071"," 60S ribosomal protein L12-like"
"58","XM_022460201.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111119745"," 60S ribosomal protein L10-like"
"59","XM_022460338.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111119826"," 60S ribosomal protein L34-like"
"60","XM_022460498.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111119920"," suppressor of tumorigenicity 14 protein homolog"
"61","XM_022460498.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111119920"," suppressor of tumorigenicity 14 protein homolog"
"62","XM_022460725.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111120067"," 60S ribosomal protein L27a-like"
"63","XM_022461359.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111120557"," 40S ribosomal protein S14"
"64","XM_022461471.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111120619"," probable 60S ribosomal protein L37-A"
"65","XM_022461504.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111120641"," luc7-like protein 3"
"66","XM_022461504.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111120641"," luc7-like protein 3"
"67","XM_022461504.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111120641"," luc7-like protein 3"
"68","XM_022461853.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111120853"," regucalcin-like"
"69","XM_022462214.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111121088"," 40S ribosomal protein S21-like"
"70","XM_022462700.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111121418"," regucalcin-like"
"71","XM_022464403.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111122600"," ubiquitin-60S ribosomal protein L40"
"72","XM_022464806.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111122819"," 60S ribosomal protein L21-like"
"73","XM_022465789.1","RNA binding",0.000274786838311253,"GO:0019843","rRNA binding","MF","green","LOC111123463"," 60S ribosomal protein L9-like"
"74","XM_022465789.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111123463"," 60S ribosomal protein L9-like"
"75","XM_022465789.1","RNA binding",0.0322845127678603,"GO:0003729","mRNA binding","MF","green","LOC111123463"," 60S ribosomal protein L9-like"
"76","XM_022465789.1","RNA binding",0.00409326019906486,"GO:0008135","translation factor activity, RNA binding","MF","green","LOC111123463"," 60S ribosomal protein L9-like"
"77","XM_022467108.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111124252"," uncharacterized"
"78","XM_022467115.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111124261"," uncharacterized"
"79","XM_022467545.1","catalytic activity, acting on a pro...",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111124576"," snake venom metalloproteinase ACLH-like"
"80","XM_022467545.1","hydrolase activity",0.000274477047167021,"GO:0008233","peptidase activity","MF","green","LOC111124576"," snake venom metalloproteinase ACLH-like"
"81","XM_022467573.1","molecular function regulator",0.00359406529608617,"GO:0030234","enzyme regulator activity","MF","green","LOC111124591"," kunitz-type protease inhibitor 1-like"
"82","XM_022469477.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111125548"," 40S ribosomal protein S5"
"83","XM_022470420.1","structural molecule activity",7.26507972899984e-62,"GO:0003735","structural constituent of ribosome","MF","green","LOC111126040"," 60S ribosomal protein L28-like"
