"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0007034",1.08536949647383e-07,0.999999998349549,5,24,"vacuolar transport","BP","red","Day18"
"2","GO:0006810",0.000836411898640644,0.999877907839877,6,448,"transport","BP","red","Day18"
"3","GO:0051604",0.00155470434152798,0.999917901494532,3,66,"protein maturation","BP","red","Day18"
"4","GO:0034641",0.00421405321868648,0.998281030243386,16,2677,"cellular nitrogen compound metabolic process","BP","red","Day18"
"5","GO:0016192",0.00473768271437702,0.999023892479418,6,584,"vesicle-mediated transport","BP","red","Day18"
"6","GO:0007005",0.00983597313552527,0.998981299473594,3,153,"mitochondrion organization","BP","red","Day18"
"7","GO:0009058",0.0170685821921255,0.991879698760127,16,3022,"biosynthetic process","BP","red","Day18"
"8","GO:0006605",0.0170957744271582,0.998936381812517,2,47,"protein targeting","BP","red","Day18"
"9","GO:0032991",0.00987153203800802,0.995471188631766,17,3519,"protein-containing complex","CC","red","Day18"
"10","GO:0005634",0.0150164452154983,0.994724456277566,9,1230,"nucleus","CC","red","Day18"
"11","GO:0005764",0.019443248308163,0.999829599468303,1,10,"lysosome","CC","red","Day18"
"12","GO:0031410",0.0271515350776125,0.997797720150652,2,132,"cytoplasmic vesicle","CC","red","Day18"
"13","GO:0005622",0.0303034998094105,0.989645022230617,7,1052,"intracellular anatomical structure","CC","red","Day18"
"14","GO:0005840",0.0411018803232668,0.990168518661461,4,255,"ribosome","CC","red","Day18"
"15","GO:0003924",0.000388096145052158,0.999930374118154,8,437,"GTPase activity","MF","red","Day18"
"16","GO:0003700",0.00371452656573283,0.999152432656986,7,712,"DNA-binding transcription factor activity","MF","red","Day18"
"17","GO:0008135",0.0246279856229707,0.998124268837507,2,66,"translation factor activity, RNA binding","MF","red","Day18"
"18","GO:0043167",0.0372244378796809,0.976538761499189,32,9871,"ion binding","MF","red","Day18"
"19","GO:0005198",0.0385375199084977,0.996216674643352,2,179,"structural molecule activity","MF","red","Day18"
"20","GO:0016491",0.0493286156935477,0.979902577886621,8,1338,"oxidoreductase activity","MF","red","Day18"
