"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0003735",40,0.00833412427198804,0.997801643667439,7,176,"structural constituent of ribosome","MF","salmon","Day18","structural molecule activity","XM_022443630.1;XM_022462016.1;XM_022465356.1;XM_022468620.1;XM_022473390.1;XM_022483859.1;XM_022488227.1"
"2","GO:0003924",45,0.0455336643796636,0.981656898284229,8,437,"GTPase activity","MF","salmon","Day18","catalytic activity","XM_022430734.1;XM_022432557.1;XM_022434571.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022441020.1;XM_022442574.1;XM_022443829.1;XM_022444670.1;XM_022445546.1;XM_022447206.1;XM_022449330.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454612.1;XM_022454820.1;XM_022454915.1;XM_022456059.1;XM_022457260.1;XM_022457454.1;XM_022457766.1;XM_022457948.1;XM_022458018.1;XM_022458688.1;XM_022458698.1;XM_022459358.1;XM_022461450.1;XM_022461451.1;XM_022461486.1;XM_022461682.1;XM_022461869.1;XM_022462079.1;XM_022462306.1;XM_022463122.1;XM_022463552.1;XM_022465208.1;XM_022465296.1;XM_022466576.1;XM_022469359.1;XM_022469983.1;XM_022470244.1;XM_022470354.1;XM_022472653.1;XM_022473251.1;XM_022474205.1;XM_022474206.1;XM_022474912.1;XM_022475216.1;XM_022475217.1;XM_022475467.1;XM_022475884.1;XM_022476322.1;XM_022476517.1;XM_022476620.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477882.1;XM_022478079.1;XM_022479262.1;XM_022481264.1;XM_022481852.1;XM_022482002.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483476.1;XM_022483590.1;XM_022484273.1;XM_022484425.1;XM_022486031.1;XM_022486182.1;XM_022486939.1;XM_022486943.1;XM_022486944.1;XM_022487416.1;XM_022487646.1;XM_022487766.1;XM_022488461.1;XM_022490405.1;XM_022490536.1"
"3","GO:0003924",45,0.0455336643796636,0.981656898284229,8,437,"GTPase activity","MF","salmon","Day18","hydrolase activity","XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022443829.1;XM_022444670.1;XM_022447206.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454820.1;XM_022456059.1;XM_022457766.1;XM_022459358.1;XM_022461486.1;XM_022461682.1;XM_022462079.1;XM_022469983.1;XM_022472653.1;XM_022476322.1;XM_022476517.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022478079.1;XM_022479262.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022484273.1;XM_022487646.1;XM_022490405.1"
"4","GO:0004386",38,0.00336277504498685,0.999762580752609,3,119,"helicase activity","MF","salmon","Day18","ATP-dependent activity","XM_022440672.1;XM_022447206.1;XM_022450613.1;XM_022457766.1;XM_022461486.1;XM_022461869.1;XM_022475467.1;XM_022477191.1;XM_022478079.1;XM_022490405.1"
"5","GO:0004386",38,0.00336277504498685,0.999762580752609,3,119,"helicase activity","MF","salmon","Day18","catalytic activity","XM_022430734.1;XM_022432557.1;XM_022434571.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022441020.1;XM_022442574.1;XM_022443829.1;XM_022444670.1;XM_022445546.1;XM_022447206.1;XM_022449330.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454612.1;XM_022454820.1;XM_022454915.1;XM_022456059.1;XM_022457260.1;XM_022457454.1;XM_022457766.1;XM_022457948.1;XM_022458018.1;XM_022458688.1;XM_022458698.1;XM_022459358.1;XM_022461450.1;XM_022461451.1;XM_022461486.1;XM_022461682.1;XM_022461869.1;XM_022462079.1;XM_022462306.1;XM_022463122.1;XM_022463552.1;XM_022465208.1;XM_022465296.1;XM_022466576.1;XM_022469359.1;XM_022469983.1;XM_022470244.1;XM_022470354.1;XM_022472653.1;XM_022473251.1;XM_022474205.1;XM_022474206.1;XM_022474912.1;XM_022475216.1;XM_022475217.1;XM_022475467.1;XM_022475884.1;XM_022476322.1;XM_022476517.1;XM_022476620.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477882.1;XM_022478079.1;XM_022479262.1;XM_022481264.1;XM_022481852.1;XM_022482002.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483476.1;XM_022483590.1;XM_022484273.1;XM_022484425.1;XM_022486031.1;XM_022486182.1;XM_022486939.1;XM_022486943.1;XM_022486944.1;XM_022487416.1;XM_022487646.1;XM_022487766.1;XM_022488461.1;XM_022490405.1;XM_022490536.1"
"6","GO:0008135",31,7.54437999392874e-08,0.999999996059242,8,66,"translation factor activity, RNA binding","MF","salmon","Day18","translation regulator activity","XM_022430394.1;XM_022457310.1;XM_022457336.1;XM_022468871.1;XM_022473633.1;XM_022478364.1;XM_022479262.1;XM_022481078.1"
"7","GO:0008233",35,7.16144733470099e-06,0.99999807338938,19,1210,"peptidase activity","MF","salmon","Day18","catalytic activity, acting on a protein","XM_022434896.1;XM_022437713.1;XM_022443829.1;XM_022452966.1;XM_022453609.1;XM_022454820.1;XM_022456059.1;XM_022459358.1;XM_022461682.1;XM_022462079.1;XM_022469983.1;XM_022472653.1;XM_022477478.1;XM_022477503.1;XM_022481852.1;XM_022482017.1;XM_022483110.1;XM_022484273.1;XM_022487646.1"
"8","GO:0008233",35,7.16144733470099e-06,0.99999807338938,19,1210,"peptidase activity","MF","salmon","Day18","catalytic activity","XM_022430734.1;XM_022432557.1;XM_022434571.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022441020.1;XM_022442574.1;XM_022443829.1;XM_022444670.1;XM_022445546.1;XM_022447206.1;XM_022449330.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454612.1;XM_022454820.1;XM_022454915.1;XM_022456059.1;XM_022457260.1;XM_022457454.1;XM_022457766.1;XM_022457948.1;XM_022458018.1;XM_022458688.1;XM_022458698.1;XM_022459358.1;XM_022461450.1;XM_022461451.1;XM_022461486.1;XM_022461682.1;XM_022461869.1;XM_022462079.1;XM_022462306.1;XM_022463122.1;XM_022463552.1;XM_022465208.1;XM_022465296.1;XM_022466576.1;XM_022469359.1;XM_022469983.1;XM_022470244.1;XM_022470354.1;XM_022472653.1;XM_022473251.1;XM_022474205.1;XM_022474206.1;XM_022474912.1;XM_022475216.1;XM_022475217.1;XM_022475467.1;XM_022475884.1;XM_022476322.1;XM_022476517.1;XM_022476620.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477882.1;XM_022478079.1;XM_022479262.1;XM_022481264.1;XM_022481852.1;XM_022482002.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483476.1;XM_022483590.1;XM_022484273.1;XM_022484425.1;XM_022486031.1;XM_022486182.1;XM_022486939.1;XM_022486943.1;XM_022486944.1;XM_022487416.1;XM_022487646.1;XM_022487766.1;XM_022488461.1;XM_022490405.1;XM_022490536.1"
"9","GO:0008233",35,7.16144733470099e-06,0.99999807338938,19,1210,"peptidase activity","MF","salmon","Day18","hydrolase activity","XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022443829.1;XM_022444670.1;XM_022447206.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454820.1;XM_022456059.1;XM_022457766.1;XM_022459358.1;XM_022461486.1;XM_022461682.1;XM_022462079.1;XM_022469983.1;XM_022472653.1;XM_022476322.1;XM_022476517.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022478079.1;XM_022479262.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022484273.1;XM_022487646.1;XM_022490405.1"
"10","GO:0016491",32,1.22022287904307e-06,0.999999631337774,26,1338,"oxidoreductase activity","MF","salmon","Day18","catalytic activity","XM_022430734.1;XM_022432557.1;XM_022434571.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022440672.1;XM_022441020.1;XM_022442574.1;XM_022443829.1;XM_022444670.1;XM_022445546.1;XM_022447206.1;XM_022449330.1;XM_022450613.1;XM_022450970.1;XM_022452966.1;XM_022453609.1;XM_022454612.1;XM_022454820.1;XM_022454915.1;XM_022456059.1;XM_022457260.1;XM_022457454.1;XM_022457766.1;XM_022457948.1;XM_022458018.1;XM_022458688.1;XM_022458698.1;XM_022459358.1;XM_022461450.1;XM_022461451.1;XM_022461486.1;XM_022461682.1;XM_022461869.1;XM_022462079.1;XM_022462306.1;XM_022463122.1;XM_022463552.1;XM_022465208.1;XM_022465296.1;XM_022466576.1;XM_022469359.1;XM_022469983.1;XM_022470244.1;XM_022470354.1;XM_022472653.1;XM_022473251.1;XM_022474205.1;XM_022474206.1;XM_022474912.1;XM_022475216.1;XM_022475217.1;XM_022475467.1;XM_022475884.1;XM_022476322.1;XM_022476517.1;XM_022476620.1;XM_022477012.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477882.1;XM_022478079.1;XM_022479262.1;XM_022481264.1;XM_022481852.1;XM_022482002.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483476.1;XM_022483590.1;XM_022484273.1;XM_022484425.1;XM_022486031.1;XM_022486182.1;XM_022486939.1;XM_022486943.1;XM_022486944.1;XM_022487416.1;XM_022487646.1;XM_022487766.1;XM_022488461.1;XM_022490405.1;XM_022490536.1"
