"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318065","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105318065","cation-dependent mannose-6-phosphate receptor"
"2","crg:105318065","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105318065","cation-dependent mannose-6-phosphate receptor"
"3","crg:105318622","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105318622","V-type proton ATPase 21 kDa proteolipid subunit"
"4","crg:105318622","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105318622","V-type proton ATPase 21 kDa proteolipid subunit"
"5","crg:105318622","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105318622","V-type proton ATPase 21 kDa proteolipid subunit"
"6","crg:105321678","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105321678","V-type proton ATPase catalytic subunit A isoform X1"
"7","crg:105321678","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105321678","V-type proton ATPase catalytic subunit A isoform X1"
"8","crg:105323790","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105323790","V-type proton ATPase 116 kDa subunit a isoform X1"
"9","crg:105323790","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105323790","V-type proton ATPase 116 kDa subunit a isoform X1"
"10","crg:105323790","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105323790","V-type proton ATPase 116 kDa subunit a isoform X1"
"11","crg:105328823","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105328823","V-type proton ATPase 116 kDa subunit a isoform X1"
"12","crg:105328823","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105328823","V-type proton ATPase 116 kDa subunit a isoform X1"
"13","crg:105328823","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105328823","V-type proton ATPase 116 kDa subunit a isoform X1"
"14","crg:105331753","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105331753","cathepsin L1"
"15","crg:105331753","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105331753","cathepsin L1"
"16","crg:105332143","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105332143","succinate dehydrogenase cytochrome b560 subunit, mitochondrial isoform X1"
"17","crg:105333395","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105333395","V-type proton ATPase subunit E"
"18","crg:105333395","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105333395","V-type proton ATPase subunit E"
"19","crg:105337691","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105337691","lysosomal aspartic protease isoform X1"
"20","crg:105339566","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105339566","dipeptidyl peptidase 1"
"21","crg:105340328","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105340328","LITAF domain-containing protein"
"22","crg:105340688","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105340688","NPC intracellular cholesterol transporter 2"
"23","crg:105345691","crg00190","Oxidative phosphorylation","105332143/105345691/105333395/105321678/105318622/105323790/105328823",7,"105345691","V-type proton ATPase subunit G"
"24","crg:105345691","crg04145","Phagosome","105345691/105333395/105321678/105318065/105331753/105318622/105323790/105328823",8,"105345691","V-type proton ATPase subunit G"
"25","crg:105347059","crg04142","Lysosome","105340688/105347059/105337691/105318065/105331753/105318622/105340328/105323790/105328823/105339566",10,"105347059","uncharacterized protein LOC105347059 isoform X1"
