"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317098","crg03040","Spliceosome","105337188/105348755/105326740/105322958/105334527/105335780/105339081/105337940/105347185/105348805/105320915/105321607/105321821/105334510/105339474/105319620/105322652/105330153/105343163/105345480/105331507/105340745/105346162/105320956/105320107/105343416/105318287/105326999/105317098/105322560/105322216/105338772/105341528/105347083/105328352/105348485/105325235/105336187/105330935/105323611",40,"105317098","polyglutamine-binding protein 1"
"2","crg:105317316","crg03010","Ribosome","105332191/105318789/105341101/105318712/105327405/105323167/105321862/105333577/105323603/105335782/105336480/105318128/105320386/105339029/105331663/105336674/105323810/105329912/105317316/105333956/105345316/105318421/105338952/105325785/105347208",25,"105317316","uncharacterized protein LOC105317316"
"3","crg:105318076","crg00190","Oxidative phosphorylation","105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"105318076","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8"
"4","crg:105318105","crg03050","Proteasome","105327391/105341348/105346293/105338413/105328897/105348466/105322442/105339979/105326796/105326861/105318105/105332983/105330688/105318528/105341026/105324879/105346718",17,"105318105","proteasome subunit beta type-6"
"5","crg:105318128","crg03010","Ribosome","105332191/105318789/105341101/105318712/105327405/105323167/105321862/105333577/105323603/105335782/105336480/105318128/105320386/105339029/105331663/105336674/105323810/105329912/105317316/105333956/105345316/105318421/105338952/105325785/105347208",25,"105318128","30S ribosomal protein S12"
"6","crg:105318218","crg00190","Oxidative phosphorylation","105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"105318218","V-type proton ATPase subunit d"
"7","crg:105318287","crg03040","Spliceosome","105337188/105348755/105326740/105322958/105334527/105335780/105339081/105337940/105347185/105348805/105320915/105321607/105321821/105334510/105339474/105319620/105322652/105330153/105343163/105345480/105331507/105340745/105346162/105320956/105320107/105343416/105318287/105326999/105317098/105322560/105322216/105338772/105341528/105347083/105328352/105348485/105325235/105336187/105330935/105323611",40,"105318287","U1 small nuclear ribonucleoprotein 70 kDa"
"8","crg:105318342","crg00190","Oxidative phosphorylation","105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"105318342","V-type proton ATPase subunit H isoform X1"
"9","crg:105318401","crg00190","Oxidative phosphorylation","105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"105318401","cytochrome c oxidase subunit 5B, mitochondrial"
"10","crg:105318421","crg03010","Ribosome","105332191/105318789/105341101/105318712/105327405/105323167/105321862/105333577/105323603/105335782/105336480/105318128/105320386/105339029/105331663/105336674/105323810/105329912/105317316/105333956/105345316/105318421/105338952/105325785/105347208",25,"105318421","39S ribosomal protein L16, mitochondrial"
"11","crg:105318424","crg00190","Oxidative phosphorylation","105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
"12","crg:105318451","crg00480","Glutathione metabolism","105323273/105343940/105318614/105343391/105342304/105320554/105331625/105320049/105327160/105344580/105330108/105318451/105346569/105345880/105343939/105337535/105320326/105348744",18,"105318451","microsomal glutathione S-transferase 1"
