"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A12.larva","B1.larva","B2.larva","B3.larva","B4.larva","B5.larva","B6.larva","B7.larva","B8.larva","B9.larva","B10.larva","B11.larva","B12.larva","C1.larva","C2.larva","C3.larva","C4.larva","C5.larva","C6.larva","C7.larva","C8.larva","C9.larva","C10.larva","C11.larva"
"1","XM_022466939.1",151.913750566243,42.9565557056705,2.38102711405501,18.0411871213483,9.25346105266482e-73,2.73077084227385e-69,445.921854928317,378.914607683457,308.905765651713,313.002433878547,242.073594680319,316.842898199369,284.644470901807,312.877954930104,256.771198108309,0,0,0,0,0,0,0,0,0,289.523796035909,258.607414212407,237.844024379577,0,0,0
"2","XM_022475226.1",140.942654709073,7.48152081674222,0.414952901757604,18.0298072023426,1.13687378945623e-72,2.73077084227385e-69,244.863890111771,232.812737009271,233.717558762879,225.104490118133,197.974916579641,326.874863313861,229.035120626288,207.899167420661,234.154045943328,52.5617189375572,77.1019715730108,62.6704103210142,76.5794434333455,57.933474904196,76.3682634258058,55.9926547067417,49.3686328663613,54.4959166864073,183.500997487548,196.541634801429,142.517649529032,61.4164623639663,58.3900468216007,44.7476452738961
"3","XM_022488848.1",129.738665804417,7.09387702671898,0.401903356068507,17.6507036321184,1.00496290867465e-69,1.60928060442434e-66,244.863890111771,235.188377182835,212.882272516576,191.874779672123,163.258935947192,265.011078441161,215.83968157786,221.621884742157,179.606796604258,75.371521495365,87.7776291754277,65.1280734708579,78.2087932936294,77.2446332055947,72.3488811402371,39.1948582947192,39.6712228390403,34.8416516519653,172.626864303101,144.820151958948,142.517649529032,64.4369441195712,39.37933390294,50.0120741296486
"4","XM_022476779.1",126.324928849055,7.92690211082182,0.465373732828125,17.0334111094951,4.64178255504989e-65,5.57478084861492e-62,124.678402763333,191.239033971902,148.564649756249,364.454888762692,377.184438222823,489.894296424354,148.919954975117,156.438977465052,162.311327301625,67.4376771274319,42.7026304096675,38.0937788225772,42.3630963673826,61.4445945953594,68.3294988546684,35.1953829585233,24.6843164331806,37.5217787021165,104.663531900305,123.097129165106,87.7757709019867,45.3072263340735,42.7741040669865,46.7218060948033
"5","XM_022488849.1",147.910361130705,7.7456185369373,0.457667364707902,16.9241224833254,2.98766567063203e-64,2.87054917634325e-61,316.750536750089,245.878757963873,245.494024902094,229.392194691812,197.974916579641,314.334906920746,242.230559674716,242.205960724401,240.806149521264,86.2805575012731,87.7776291754277,81.1028839448418,79.8381431539134,95.6780115842025,86.4167191397276,38.39496322748,39.6712228390403,40.2019057522677,213.404863744778,137.579144361,156.675031932578,62.4232896158346,29.1950234108003,40.1412700251127
"6","XM_022467886.1",63.3002233720639,32.7735268676553,2.38438883045617,13.7450429430947,5.45406855020822e-43,4.36689088586671e-40,254.972949795285,201.92941475294,183.894048173894,138.278472501139,96.6417839227632,126.235561024023,108.391106469231,76.1610811343016,74.5035600728772,0,0,0,0,0,15.0726835708827,0,0,0,91.070865419746,76.5477946068724,75.50603948558,0,0,0
"7","XM_022463568.1",493.746702370524,3.21916697010438,0.24281844058806,13.2575061527789,4.08247324249693e-40,2.80174306527932e-37,580.709317375164,702.00167128816,624.152705378387,633.508350761032,784.393508343981,823.457136481209,450.52999036776,614.777736003011,635.941102050631,449.253937334215,463.798013616111,442.379366971865,467.623409901492,433.623281858679,452.180507126482,234.369254701076,247.724747061563,214.410164012094,536.910325982085,543.075569846054,529.48610189263,338.293956627749,335.403292207799,311.917409703335
"8","XM_022450957.1",609.756726429879,4.6281622376048,0.351342569761155,13.1727909907161,1.25857538526802e-39,7.55774518853444e-37,889.597252149187,1015.58617419861,949.364347222859,1204.84498520372,1194.41738770561,1441.25898811533,449.587459007158,652.515208637125,657.227833500024,576.195447221146,635.794719432828,484.159640519207,594.71269900364,524.912393828928,479.311337554071,193.574606271878,200.119279654714,138.473230924477,517.880592909302,432.391596563144,577.621202064687,241.638540448392,254.607762303491,328.368749877561
"9","XM_022481309.1",138.872564726085,-10.8410440788328,0.854217531664043,-12.6911982919785,6.61656441170279e-37,3.53177504820225e-34,41.5594675877777,46.3249833844979,16.305876192759,8.57540914735745,0,10.8679622073662,21.6782212938462,51.4601899556092,55.8776700546579,139.834006984822,190.975652665458,131.484978516638,200.410032814925,134.300328187,124.600850852631,277.563588331991,399.356976579673,384.151543855002,131.848864861423,103.442965684963,116.090535709079,316.143757086646,183.317588858514,246.770102613398
"10","XM_022430770.1",166.135588037235,-9.76538259854177,0.774992909394955,-12.6006089606235,2.09520578315811e-36,1.00653685822915e-33,86.4886217367265,85.5230462483038,52.5411566211124,9.64733529077713,0,7.52397383586892,44.2989739482944,68.6135866074789,65.1906150637676,150.74304299073,208.768415336152,201.528378287183,205.298082395777,229.100559848412,116.562086281493,285.562539004383,446.962443986521,320.721870334758,221.560463633113,130.338136763053,147.236776996881,387.628491969295,197.575623547509,317.839892166056
