"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022436805.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111103490"," elongation factor 2-like"
"2","XM_022437445.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111103869"," rho GTPase-activating protein 190-like"
"3","XM_022439013.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111104835"," arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like"
"4","XM_022450252.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111112625"," guanine nucleotide-binding protein G(q) subunit alpha"
"5","XM_022450298.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111112641"," guanine nucleotide-binding protein G(q) subunit alpha-like"
"6","XM_022450908.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111112993"," tubulin alpha-1A chain"
"7","XM_022477057.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111130255"," rho-related GTP-binding protein RhoJ-like"
"8","XM_022477427.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111130391"," circularly permutated Ras protein 1-like"
"9","XM_022484659.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111135002"," NF-kappa-B inhibitor-interacting Ras-like protein 1"
"10","XR_002638562.1","hydrolase activity",0.0108673093527648,"GO:0003924","GTPase activity","MF","brown","LOC111126975"," signal recognition particle receptor subunit alpha-like"
