"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022436838.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111103513"," cyclic AMP-responsive element-binding protein 3-like protein 1"
"2","XM_022439013.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111104835"," arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like"
"3","XM_022439013.1","hydrolase activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111104835"," arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like"
"4","XM_022439013.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111104835"," arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like"
"5","XM_022442443.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111107306"," transcription factor GATA-3-like"
"6","XM_022443255.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111107857"," hepatic leukemia factor-like"
"7","XM_022446499.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111110128"," hepatic leukemia factor-like"
"8","XM_022450252.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112625"," guanine nucleotide-binding protein G(q) subunit alpha"
"9","XM_022450252.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111112625"," guanine nucleotide-binding protein G(q) subunit alpha"
"10","XM_022450252.1","hydrolase activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112625"," guanine nucleotide-binding protein G(q) subunit alpha"
"11","XM_022450298.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111112641"," guanine nucleotide-binding protein G(q) subunit alpha-like"
"12","XM_022450298.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112641"," guanine nucleotide-binding protein G(q) subunit alpha-like"
"13","XM_022450298.1","hydrolase activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112641"," guanine nucleotide-binding protein G(q) subunit alpha-like"
"14","XM_022450908.1","hydrolase activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112993"," tubulin alpha-1A chain"
"15","XM_022450908.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111112993"," tubulin alpha-1A chain"
"16","XM_022450908.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111112993"," tubulin alpha-1A chain"
"17","XM_022453421.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111114893"," ATP-dependent RNA helicase DHX8-like"
"18","XM_022453421.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111114893"," ATP-dependent RNA helicase DHX8-like"
"19","XM_022453421.1","ATP-dependent activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111114893"," ATP-dependent RNA helicase DHX8-like"
"20","XM_022458693.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111118959"," nuclear factor 1 X-type-like"
"21","XM_022459991.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111119625"," DNA-binding protein RFX2-like"
"22","XM_022460388.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111119855"," forkhead box protein K1-like"
"23","XM_022462582.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111121313"," myelin regulatory factor-like"
"24","XM_022468927.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111125302"," transcription factor GATA-4-like"
"25","XM_022471844.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111126911"," ETS translocation variant 5-like"
"26","XM_022475467.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111129219"," regulator of nonsense transcripts 1-like"
"27","XM_022475467.1","ATP-dependent activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111129219"," regulator of nonsense transcripts 1-like"
"28","XM_022475467.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111129219"," regulator of nonsense transcripts 1-like"
"29","XM_022476749.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111130067"," putative transcription factor p65 homolog"
"30","XM_022477057.1","catalytic activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111130255"," rho-related GTP-binding protein RhoJ-like"
"31","XM_022477057.1","catalytic activity",0.0349938251760843,"GO:0004386","helicase activity","MF","brown","LOC111130255"," rho-related GTP-binding protein RhoJ-like"
"32","XM_022477057.1","hydrolase activity",0.0124212725525416,"GO:0003924","GTPase activity","MF","brown","LOC111130255"," rho-related GTP-binding protein RhoJ-like"
"33","XM_022477314.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111130344"," nuclear factor erythroid 2-related factor 2-like"
"34","XM_022477624.1","transcription regulator activity",5.74487052142789e-05,"GO:0003700","DNA-binding transcription factor activity","MF","brown","LOC111130492"," hepatocyte nuclear factor 3-beta-like"
