"","TranscriptID","fullID","Function","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A12.larva","B1.larva","B2.larva","B3.larva","B4.larva","B5.larva","B6.larva","B7.larva","B8.larva","C6.larva","C7.larva","C8.larva"
"4720","XR_002637048.1","XR_002637048.1 PREDICTED: Crassostrea virginica uncharacterized LOC111116684 (LOC111116684), ncRNA"," uncharacterized LOC111116684 (LOC111116684), ncRNA","LOC111116684",831.542863894346,-9.74021421192212,0.24187466149779,-40.2696758379179,0,0,78.1093108503005,69.982172917806,65.9595154056901,38.1624975771297,38.4416624337063,49.4602126751154,1641.55866112666,1546.54979546488,1557.73354298254,1946.32918792276,1489.499145504,1456.72866187156
"2580","XM_022470031.1","XM_022470031.1 PREDICTED: Crassostrea virginica carnosine synthase 1-like (LOC111125850), mRNA"," carnosine synthase 1-like (LOC111125850), mRNA","LOC111125850",7710.41748835848,-3.84207321100505,0.213319052448955,-18.0109238574666,1.59936794227914e-72,3.82808716984513e-69,3551.8039406095,2738.48273368529,3312.92659377646,3537.76666728526,2706.47609086832,3407.17045702287,13971.0420569818,13347.9041373341,12926.728145964,9063.6033937591,12337.6824491443,11623.4231938708
"3580","XM_022479553.1","XM_022479553.1 PREDICTED: Crassostrea virginica basic salivary proline-rich protein 2-like (LOC111131829), mRNA"," basic salivary proline-rich protein 2-like (LOC111131829), mRNA","LOC111131829",133.585592339396,-21.0886875717819,1.6838276514769,-12.5242554089695,5.50051288812299e-36,8.77698506514825e-33,0,0,0,0,0,0,260.057931306892,219.222267431256,258.974820113473,297.05714815672,241.540401973621,326.174539090786
"2403","XM_022468170.1","XM_022468170.1 PREDICTED: Crassostrea virginica histone H3.3 (LOC111124901), transcript variant X1, mRNA"," histone H3.3 (LOC111124901), transcript variant X1, mRNA","LOC111124901",134.733463101246,-3.75501214451067,0.313554000844787,-11.975647366622,4.76702030277212e-33,5.70493154734254e-30,55.3274285189629,64.2459292360186,55.4059929407797,44.3510106977453,51.2555499116084,73.3925736469455,229.033476343965,177.90986445029,186.461870481701,266.141698348554,191.219484895783,222.056677742597
"3535","XM_022479226.1","XM_022479226.1 PREDICTED: Crassostrea virginica protein spalten-like (LOC111131614), mRNA"," protein spalten-like (LOC111131614), mRNA","LOC111131614",90.284433843245,-19.9623761066141,1.68309634624832,-11.8605070655111,1.89822058610405e-32,1.81735638913602e-29,0,0,0,0,0,0,172.459470235097,176.577206289613,163.154136671488,225.817198598773,173.103954747762,172.301239576206
"2","XM_022430391.1","XM_022430391.1 PREDICTED: Crassostrea virginica apolipoprotein D-like (LOC111099048), mRNA"," apolipoprotein D-like (LOC111099048), mRNA","LOC111099048",103.25267888188,2.83687898240673,0.277435108912506,10.225378444447,1.52630614279995e-24,1.21773791759723e-21,137.776145527613,114.724873635748,105.535224649104,166.058435403186,180.309702367622,193.852123871823,71.1737496208336,61.9686044714492,81.577068335744,32.2595997998248,52.3337537609512,41.4628651386592
"285","XM_022435436.1","XM_022435436.1 PREDICTED: Crassostrea virginica uncharacterized LOC111102617 (LOC111102617), mRNA"," uncharacterized LOC111102617 (LOC111102617), mRNA","LOC111102617",36.8847428488908,-17.3733325681765,1.75930734623502,-9.87509806365333,5.33807222856307e-23,3.6504788225902e-20,0,0,0,0,0,0,51.0991022918805,99.2830329703863,90.6411870397155,79.3048495079026,62.3979371765188,59.8908052002856
"3541","XM_022479259.1","XM_022479259.1 PREDICTED: Crassostrea virginica histone H1-delta-like (LOC111131637), mRNA"," histone H1-delta-like (LOC111131637), mRNA","LOC111131637",1343.49981416646,-1.96032755919452,0.199405786122895,-9.83084592132327,8.291930924333e-23,4.96168416684776e-20,748.54756231538,959.09994359485,941.022419787845,882.894538541162,1078.19710349776,807.3183101164,2120.61274511304,1673.81864980947,1884.04181632552,1677.49918959089,1610.26934649081,1738.67614481444
"3599","XM_022479807.1","XM_022479807.1 PREDICTED: Crassostrea virginica loricrin-like (LOC111132115), transcript variant X1, mRNA"," loricrin-like (LOC111132115), transcript variant X1, mRNA","LOC111132115",44.5706083597661,17.7657521041681,1.81265835020117,9.80093799926302,1.11544943002358e-22,5.93295157946986e-20,31.4606946480377,87.1909039631681,84.4281797192833,106.236141903902,116.240264978112,109.291115104691,0,0,0,0,0,0
"1508","XM_022459436.1","XM_022459436.1 PREDICTED: Crassostrea virginica 40S ribosomal protein S24-like (LOC111119359), transcript variant X2, mRNA"," 40S ribosomal protein S24-like (LOC111119359), transcript variant X2, mRNA","LOC111119359",1417.84483779842,2.07824332784037,0.217256552336986,9.56584878791968,1.11284528414181e-21,5.32719037518683e-19,1594.73176319364,2364.47964563276,2062.33418168458,1567.75665722262,1943.13450825615,1916.18436847786,808.46079697511,942.855648678501,1006.11717614084,908.645394361731,954.084587795803,945.35332516143
"3390","XM_022478005.1","XM_022478005.1 PREDICTED: Crassostrea virginica adhesive plaque matrix protein-like (LOC111130773), mRNA"," adhesive plaque matrix protein-like (LOC111130773), mRNA","LOC111130773",37.6801026325484,17.320616153278,1.87054672226227,9.25965438186443,2.0509500345437e-20,8.92536165032789e-18,82.4487170086505,78.0129140723083,106.414684854513,28.8797278962062,99.7652667922378,56.6399209666644,0,0,0,0,0,0
"3461","XM_022478595.1","XM_022478595.1 PREDICTED: Crassostrea virginica uncharacterized LOC111131183 (LOC111131183), mRNA"," uncharacterized LOC111131183 (LOC111131183), mRNA","LOC111131183",154.216292091529,2.08980139295101,0.228030691730075,9.16456191530897,4.97486267624032e-20,1.9845556359302e-17,193.103574046576,156.025828144617,193.481245190024,222.786472342162,263.599970973986,217.784484843653,93.0733648887824,110.610627336135,121.718165453332,92.7463494244962,103.661089180346,82.0043332742371
"354","XM_022436740.1","XM_022436740.1 PREDICTED: Crassostrea virginica uncharacterized LOC111103455 (LOC111103455), transcript variant X1, mRNA"," uncharacterized LOC111103455 (LOC111103455), transcript variant X1, mRNA","LOC111103455",1504.20924015029,-1.8049226558081,0.199465192116402,-9.04881015407839,1.44534619299429e-19,5.3222094045105e-17,1031.69381414772,971.719679694782,982.357049442078,1154.15769699481,895.141568099161,1257.24669638681,2341.43386573153,1897.70522080309,1864.61870481701,2055.20533724717,1878.98304368646,1720.24820475282
"2045","XM_022463642.1","XM_022463642.1 PREDICTED: Crassostrea virginica uncharacterized LOC111122087 (LOC111122087), mRNA"," uncharacterized LOC111122087 (LOC111122087), mRNA","LOC111122087",228.124104902712,-2.39195917822447,0.271256778106413,-8.81806233533495,1.16457418906147e-18,3.98201188788375e-16,157.303473240189,152.584081935544,144.231473687109,96.9533722229781,125.393041748042,155.560346316895,263.707867184884,337.162514651111,350.910881253756,362.920497748029,318.028195931934,272.73351291207
"2771","XM_022471786.1","XM_022471786.1 PREDICTED: Crassostrea virginica uncharacterized LOC111126876 (LOC111126876), mRNA"," uncharacterized LOC111126876 (LOC111126876), mRNA","LOC111126876",139.382521703201,-2.69765205526258,0.308048311485997,-8.75723694848172,2.00094740190335e-18,6.38569014194088e-16,90.0426777857631,76.8656653359509,86.1871001301017,71.1679008870797,54.0013829425874,93.3362077901372,221.733604587982,205.895685824492,165.743884872623,237.914548523708,177.129628113989,192.571973643995
"3971","XM_022484131.1","XM_022484131.1 PREDICTED: Crassostrea virginica SCO-spondin-like (LOC111134775), transcript variant X2, mRNA"," SCO-spondin-like (LOC111134775), transcript variant X2, mRNA","LOC111134775",41.1708984601067,17.5594072439465,2.02675739220508,8.66379336346822,4.56320183850977e-18,1.36525295005914e-15,42.3092100439128,122.75561479025,32.5400276001404,119.644586998569,128.138874779021,48.6624673093878,0,0,0,0,0,0
"105","XM_022432354.1","XM_022432354.1 PREDICTED: Crassostrea virginica uncharacterized LOC111100448 (LOC111100448), mRNA"," uncharacterized LOC111100448 (LOC111100448), mRNA","LOC111100448",229.994058641937,-1.72080647748731,0.201887675402099,-8.52358359201463,1.54691046682914e-17,4.35591788512418e-15,165.982285556889,144.553340781042,141.593093070881,161.932759989442,204.106921969441,161.942309242717,271.920222910364,273.861252018985,274.513309320281,348.134847839776,267.707278854097,343.681082149331
"987","XM_022450957.1","XM_022450957.1 PREDICTED: Crassostrea virginica cathepsin L1-like (LOC111113026), transcript variant X2, mRNA"," cathepsin L1-like (LOC111113026), transcript variant X2, mRNA","LOC111113026",805.570938567287,1.99933797937159,0.237790364416554,8.40798568216669,4.17112053128121e-17,1.1092863324024e-14,859.202419353306,980.897669585642,921.674295268843,1159.31479126199,1165.1484828121,1375.3130105145,435.254853450483,633.678955401593,639.667805680278,512.121146822218,420.682866770723,563.894965885765
"2964","XM_022473993.1","XM_022473993.1 PREDICTED: Crassostrea virginica fatty acid-binding protein-like (LOC111128399), mRNA"," fatty acid-binding protein-like (LOC111128399), mRNA","LOC111128399",301.989523294328,1.73701018515575,0.207891834154211,8.35535552525485,6.52359330047331e-17,1.64360216470346e-14,367.764671920165,380.886580470682,369.373286271865,385.750651185041,384.416624337063,456.310349196226,240.895767947437,249.207076046473,172.21825537546,225.817198598773,181.155301480216,210.07851670254
"2685","XM_022470874.1","XM_022470874.1 PREDICTED: Crassostrea virginica uncharacterized LOC111126328 (LOC111126328), mRNA"," uncharacterized LOC111126328 (LOC111126328), mRNA","LOC111126328",596.127295874799,1.12401434056577,0.135862664926343,8.27316570873348,1.30448197124553e-16,3.12227759817618e-14,621.619932183642,641.312043623829,634.970268305443,822.040826188442,747.781862103287,801.734092556307,421.567593908015,429.115927737777,429.898201388365,446.257797230909,566.613526296453,590.615478975124
"1510","XM_022459439.1","XM_022459439.1 PREDICTED: Crassostrea virginica 40S ribosomal protein S24-like (LOC111119359), transcript variant X4, mRNA"," 40S ribosomal protein S24-like (LOC111119359), transcript variant X4, mRNA","LOC111119359",2199.91556271858,-1.83424527968068,0.235062680604959,-7.80321774158302,6.03482918175274e-15,1.37565368062145e-12,1767.22315798805,1448.97515401949,1291.92704174612,1286.17931023461,1580.68454816692,1759.82627679524,2816.83801383992,2668.64796675434,2846.13327304707,3579.47142778889,2625.74545312157,2727.3351291207
"2282","XM_022466507.1","XM_022466507.1 PREDICTED: Crassostrea virginica temptin-like (LOC111123866), mRNA"," temptin-like (LOC111123866), mRNA","LOC111123866",282.469714476527,-1.82203115904896,0.234633393081303,-7.7654383935777,8.13633055777699e-15,1.77039156273084e-12,194.188425586164,240.92223463507,204.914227860344,173.278367377237,192.208312168532,173.110744362904,402.405430548559,349.822767177536,339.25701434865,463.731747122481,346.207909495524,309.589393035322
"4665","XR_002634082.1","XR_002634082.1 PREDICTED: Crassostrea virginica uncharacterized LOC111100811 (LOC111100811), ncRNA"," uncharacterized LOC111100811 (LOC111100811), ncRNA","LOC111100811",540.553253680738,-2.28490189680937,0.298998000856114,-7.64186345817385,2.14100163589376e-14,4.45607601348845e-12,477.334677418503,403.831555197831,346.507320931225,223.817891195598,329.499963717483,265.649206787314,638.738778648507,685.65262366797,754.911600630774,979.885343919678,780.980633048041,599.829449005937
"4437","XM_022488553.1","XM_022488553.1 PREDICTED: Crassostrea virginica uncharacterized LOC111137201 (LOC111137201), transcript variant X1, mRNA"," uncharacterized LOC111137201 (LOC111137201), transcript variant X1, mRNA","LOC111137201",1769.83698528941,-1.86382273185316,0.245532893398682,-7.590928881479,3.17620256560541e-14,6.33520070064713e-12,1236.73075512976,1188.54969086634,1178.47667524833,1341.87592832015,950.973506395735,1404.82958904642,2883.44934361326,2212.87887580304,2087.33705011459,2551.19668416948,2150.71599590678,2051.02972885901
"498","XM_022439538.1","XM_022439538.1 PREDICTED: Crassostrea virginica uncharacterized LOC111105317 (LOC111105317), transcript variant X2, mRNA"," uncharacterized LOC111105317 (LOC111105317), transcript variant X2, mRNA","LOC111105317",12.0958008651488,-14.1334753163943,1.91180677687952,-7.39273209370204,1.4384211507226e-13,2.75428881940364e-11,0,0,0,0,0,0,18.2496793899573,27.3194922938647,34.9616007153188,33.6037497914841,18.1155301480216,12.8995580431384
"3369","XM_022477835.1","XM_022477835.1 PREDICTED: Crassostrea virginica ribonuclease Oy-like (LOC111130657), mRNA"," ribonuclease Oy-like (LOC111130657), mRNA","LOC111130657",228.906193063384,-1.9605880858508,0.268088754376398,-7.31320524955002,2.60844110959754e-13,4.80254138140132e-11,145.370106304726,133.080853417467,145.990394097927,139.241545213852,183.970813075594,176.301725825815,230.85844428296,327.833907526376,327.603147443543,366.952947723007,264.688023829426,304.982408019916
"2668","XM_022470794.1","XM_022470794.1 PREDICTED: Crassostrea virginica uncharacterized LOC111126276 (LOC111126276), mRNA"," uncharacterized LOC111126276 (LOC111126276), mRNA","LOC111126276",2413.48485455599,-1.56407120695487,0.214735221348011,-7.28371990927399,3.24738881031413e-13,5.75750008702731e-11,2087.25436216636,1417.99943813784,2022.75847244116,1554.34821212796,1566.95538301203,1910.60015091777,3568.72480470616,3922.01296687043,3251.42886652465,2599.58608386921,2550.26407750482,2509.88543639351
"3820","XM_022482504.1","XM_022482504.1 PREDICTED: Crassostrea virginica uncharacterized LOC111133819 (LOC111133819), mRNA"," uncharacterized LOC111133819 (LOC111133819), mRNA","LOC111133819",1760.11549294032,-1.41052944604355,0.196117666101489,-7.1922610241222,6.37270466916212e-13,1.0895049018314e-10,1502.5193823287,1579.76150996424,1471.33692364959,1180.97458718415,997.652667922378,1325.05505247366,1858.72984586716,2113.59584283265,2095.106294718,2783.73463272655,2043.02923336021,2169.8899422565
"2413","XM_022468296.1","XM_022468296.1 PREDICTED: Crassostrea virginica thioredoxin domain-containing protein 3 homolog (LOC111124944), transcript variant X15, mRNA"," thioredoxin domain-containing protein 3 homolog (LOC111124944), transcript variant X15, mRNA","LOC111124944",42.4069530544059,21.7127921611597,3.08118119999135,7.04690531060641,1.82940716065318e-12,3.01978347518854e-10,44.4789131230878,57.3624368178738,79.1514184868281,0,108.918043562168,0,40.1492946579061,95.9513875686955,82.8719424363113,0,0,0
